setting,proxy,split,n_test,r2,rmse,calib_intercept,calib_slope,alpha_C,alpha_M,alpha_eta
bert,primary_M_proxy,0,37,0.9335673021800849,0.25636055749804276,0.1670261649637925,1.0448550824944913,0.058504960726515357,0.38757130139496604,-1.040124543272631
bert,primary_M_proxy,1,39,0.9445673732913508,0.2530217643533429,0.17038088664078924,1.0344972524584195,0.05766677346530863,0.3915301776252849,-1.042149506843244
bert,primary_M_proxy,2,29,0.9180340484213936,0.275438282585777,0.13358587966205013,1.0483151813283784,0.006306745005070613,0.4647453915948788,-1.2055531952100653
bert,primary_M_proxy,3,45,0.9289731428993664,0.2686325130523448,0.08512446599190755,1.0207513013085698,0.050918344255802814,0.3964930233617385,-1.0466923913669557
bert,primary_M_proxy,4,34,0.9254779296164564,0.24419401493415122,-0.11936592390026503,0.964536175426777,0.08260375551144508,0.3836098422181674,-1.1318562605629772
bert,primary_M_proxy,5,34,0.9485985563102316,0.24353566020006898,0.17707175870438424,1.028381107979191,0.05571760805067294,0.3914918828046231,-1.0979367609165236
bert,primary_M_proxy,6,39,0.9247848019344851,0.2642807147752618,0.13833959349912,1.0428065509563378,0.0576012389747429,0.4066558798123946,-1.0254825975787545
bert,primary_M_proxy,7,36,0.9406498696779146,0.253566907143206,0.32171190469181504,1.062345316858952,0.07163093097991018,0.36228609427817715,-1.0307130401607947
bert,primary_M_proxy,8,47,0.9534077267656472,0.22029684823371715,-0.20817686642970898,0.9456332814156715,0.056332707838290474,0.43690299885805195,-1.1542476502926202
bert,primary_M_proxy,9,44,0.9473478664314863,0.2250795949152013,-0.1010787074143644,0.9736838271945892,0.05598385805758979,0.4149205020478139,-1.0517971597288809
bert,primary_M_proxy,10,41,0.9516821915574227,0.22784098830860308,0.0026917593074285134,0.9971940475091856,0.026256596218600714,0.43147522992002346,-1.1497175080477844
bert,primary_M_proxy,11,35,0.9218881385592842,0.28204884135842395,0.3037830559025915,1.0836406310735764,0.039903457656266766,0.4167594117003878,-1.108945819762476
bert,primary_M_proxy,12,41,0.9473594225500488,0.22178058887817145,-0.04390777567164682,0.9997710050995386,0.05072804745044854,0.4039637155574377,-1.1455734321769127
bert,primary_M_proxy,13,44,0.921024773568208,0.2875469766999468,0.10172774720398442,0.9943229060302241,-0.0007092358452395475,0.4857596153394548,-1.154226130291234
bert,primary_M_proxy,14,42,0.9278188011496794,0.27258644782308694,-0.16608609282402834,0.983205653936164,0.015936414072054594,0.45648281843381844,-1.2433295634036208
bert,primary_M_proxy,15,46,0.9488649753619419,0.25467031262914663,0.2251280475712176,1.0356953379137186,0.07662726445726419,0.38052825262914464,-1.0738174378568233
bert,primary_M_proxy,16,34,0.9282996935526083,0.2751896340939461,0.1658667893678828,0.9980721957315658,0.0420803368085228,0.41404703287284866,-1.1675631633405736
bert,primary_M_proxy,17,39,0.9177254705155447,0.2523794820364561,0.029996461876025917,1.0422254455380635,0.05145287586316502,0.4127715479760047,-1.0904054717930425
bert,primary_M_proxy,18,40,0.9471676437367148,0.20459743381317833,-0.10014283202767531,0.9960099171754853,0.0644569440091696,0.39507735695010093,-1.0711592522164317
bert,primary_M_proxy,19,51,0.9530959889650682,0.21531830373211677,-0.20208151910821878,0.9624915912258869,0.049898542341472174,0.4335362836228005,-1.1320292256596194
bert,M1_activation,0,37,0.9335673021800849,0.25636055749804276,0.1670261649637925,1.0448550824944913,0.058504960726515357,0.38757130139496604,-1.040124543272631
bert,M1_activation,1,39,0.9445673732913508,0.2530217643533429,0.17038088664078924,1.0344972524584195,0.05766677346530863,0.3915301776252849,-1.042149506843244
bert,M1_activation,2,29,0.9180340484213936,0.275438282585777,0.13358587966205013,1.0483151813283784,0.006306745005070613,0.4647453915948788,-1.2055531952100653
bert,M1_activation,3,45,0.9289731428993664,0.2686325130523448,0.08512446599190755,1.0207513013085698,0.050918344255802814,0.3964930233617385,-1.0466923913669557
bert,M1_activation,4,34,0.9254779296164564,0.24419401493415122,-0.11936592390026503,0.964536175426777,0.08260375551144508,0.3836098422181674,-1.1318562605629772
bert,M1_activation,5,34,0.9485985563102316,0.24353566020006898,0.17707175870438424,1.028381107979191,0.05571760805067294,0.3914918828046231,-1.0979367609165236
bert,M1_activation,6,39,0.9247848019344851,0.2642807147752618,0.13833959349912,1.0428065509563378,0.0576012389747429,0.4066558798123946,-1.0254825975787545
bert,M1_activation,7,36,0.9406498696779146,0.253566907143206,0.32171190469181504,1.062345316858952,0.07163093097991018,0.36228609427817715,-1.0307130401607947
bert,M1_activation,8,47,0.9534077267656472,0.22029684823371715,-0.20817686642970898,0.9456332814156715,0.056332707838290474,0.43690299885805195,-1.1542476502926202
bert,M1_activation,9,44,0.9473478664314863,0.2250795949152013,-0.1010787074143644,0.9736838271945892,0.05598385805758979,0.4149205020478139,-1.0517971597288809
bert,M1_activation,10,41,0.9516821915574227,0.22784098830860308,0.0026917593074285134,0.9971940475091856,0.026256596218600714,0.43147522992002346,-1.1497175080477844
bert,M1_activation,11,35,0.9218881385592842,0.28204884135842395,0.3037830559025915,1.0836406310735764,0.039903457656266766,0.4167594117003878,-1.108945819762476
bert,M1_activation,12,41,0.9473594225500488,0.22178058887817145,-0.04390777567164682,0.9997710050995386,0.05072804745044854,0.4039637155574377,-1.1455734321769127
bert,M1_activation,13,44,0.921024773568208,0.2875469766999468,0.10172774720398442,0.9943229060302241,-0.0007092358452395475,0.4857596153394548,-1.154226130291234
bert,M1_activation,14,42,0.9278188011496794,0.27258644782308694,-0.16608609282402834,0.983205653936164,0.015936414072054594,0.45648281843381844,-1.2433295634036208
bert,M1_activation,15,46,0.9488649753619419,0.25467031262914663,0.2251280475712176,1.0356953379137186,0.07662726445726419,0.38052825262914464,-1.0738174378568233
bert,M1_activation,16,34,0.9282996935526083,0.2751896340939461,0.1658667893678828,0.9980721957315658,0.0420803368085228,0.41404703287284866,-1.1675631633405736
bert,M1_activation,17,39,0.9177254705155447,0.2523794820364561,0.029996461876025917,1.0422254455380635,0.05145287586316502,0.4127715479760047,-1.0904054717930425
